Gene_ID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6
Gene_001	1250	1180	1320	980	1050	1120
Gene_002	890	920	870	1250	1180	1210
Gene_003	450	480	420	380	410	390
Gene_004	2100	1980 2150	1890	2010	1950
Gene_005	320	350	310	280	300	290
Gene_006	1560	1620	1490	1680	1590	1650
Gene_007	780	810	760	720	750	730
Gene_008	920	890	950	870 910	880
Gene_009	450	480	420	380	410	390
Gene_010	1890	1950 1820	2010	1920 1980
Gene_011	680	710	650	620	660	640
Gene_012	1120	1080 1150	1020 1090 1060
Gene_013	540	570	510	480	520	500
Gene_014	2310 2250 2380 2190 2280 2220
Gene_015	890	920	870	830	880	860
Gene_016	1450 1510 1400 1580 1480 1540
Gene_017	720	750	690	660 710 690
Gene_018	1680 1620 1740 1590 1650 1610
Gene_019	580	610	550	520 560 540
Gene_020	1250 1310 1200 1380 1280 1340
