baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name
564.13	-3.88	0.51	-7.57	3.62e-14	1.64e-12	UBE2B
438.46	5.58	0.81	6.91	4.94e-12	1.52e-10	NMT1
4212.36	1.74	0.25	6.91	5.02e-12	1.54e-10	ANXA6
533.54	-2.88	0.43	-6.69	2.24e-11	6.25e-10	FAM177A1
975.2	-2.6	0.4	-6.57	5.09e-11	1.29e-09	CD82
4505.2	-3.4	0.53	-6.46	1.02e-10	2.41e-09	SEC14L1
303626.69	1.79	0.3	6.01	1.91e-09	3.47e-08	RMRP
8529.25	1.72	0.29	5.87	4.27e-09	6.97e-08	HSPA8
2015.82	2.36	0.41	5.82	5.94e-09	9.47e-08	LCK
6736.02	1.54	0.27	5.81	6.35e-09	1.01e-07	ENO1
1004.66	3.07	0.53	5.76	8.47e-09	1.31e-07	CD9
705.64	2.53	0.45	5.65	1.63e-08	2.36e-07	GIMAP7
1633.44	2.21	0.39	5.64	1.73e-08	2.49e-07	DOK2
7786.3	-2.27	0.41	-5.6	2.1e-08	2.95e-07	FOXO3
8912.6	-2.12	0.38	-5.6	2.13e-08	3e-07	ITGAX
2472.32	1.76	0.31	5.6	2.19e-08	3.07e-07	TOMM7
2415.8	1.82	0.33	5.57	2.62e-08	3.59e-07	ESYT1
1756.98	1.94	0.35	5.56	2.63e-08	3.61e-07	ANAPC5
3030.22	2.3	0.42	5.53	3.25e-08	4.37e-07	C2orf88
824.88	1.79	0.32	5.53	3.29e-08	4.42e-07	CCT8
2256.95	1.81	0.33	5.48	4.2e-08	5.43e-07	PRKACB
3283.55	2.02	0.37	5.47	4.51e-08	5.77e-07	LDHB
9669.88	2.02	0.37	5.46	4.64e-08	5.92e-07	CCL5
572.1	-3.36	0.62	-5.45	5.14e-08	6.49e-07	SLC9A8
850.94	2.04	0.38	5.41	6.26e-08	7.76e-07	CD247
3298.58	1.63	0.3	5.38	7.31e-08	8.88e-07	ARL6IP5
1805.72	1.55	0.29	5.37	7.7e-08	9.32e-07	DDOST
5489.95	2.29	0.43	5.35	8.58e-08	1.02e-06	LIMS1
1636.43	1.6	0.3	5.34	9.36e-08	1.1e-06	RAN
1388.09	1.6	0.3	5.32	1.01e-07	1.18e-06	MFNG
2450.89	-1.87	0.35	-5.32	1.02e-07	1.18e-06	MBOAT7
834.29	2.62	0.49	5.3	1.15e-07	1.32e-06	TUBA1C
5027.08	1.74	0.33	5.3	1.15e-07	1.32e-06	CD52
1953.19	2.35	0.45	5.26	1.46e-07	1.62e-06	ANKRD28
5679.32	1.42	0.27	5.23	1.67e-07	1.82e-06	ADD3
839.91	2.14	0.41	5.23	1.69e-07	1.84e-06	CD2
1337.72	1.77	0.34	5.23	1.73e-07	1.88e-06	SNRPD2
3347.19	2.11	0.41	5.21	1.84e-07	1.98e-06	MMD
2060.01	2.29	0.44	5.21	1.84e-07	1.98e-06	TRBC1
2438.24	1.74	0.34	5.2	2.04e-07	2.17e-06	HIST1H4J
1103.46	1.61	0.31	5.17	2.31e-07	2.42e-06	PDIA4
9493.14	1.68	0.33	5.16	2.51e-07	2.6e-06	MYL12A
4775.25	1.75	0.34	5.14	2.68e-07	2.75e-06	SCARNA6
1057.62	1.88	0.37	5.14	2.82e-07	2.88e-06	GIMAP4
3764.47	1.72	0.34	5.11	3.28e-07	3.28e-06	HIST1H1D
1347.52	2.42	0.47	5.1	3.35e-07	3.35e-06	LINC00989
1978.84	1.54	0.3	5.07	3.91e-07	3.87e-06	RPN2
16063.41	1.48	0.29	5.07	3.98e-07	3.92e-06	TMSB10
1245	1.91	0.38	5.06	4.26e-07	4.14e-06	VDAC3
6780.91	1.42	0.28	5.05	4.33e-07	4.2e-06	PPIA
3076.28	2.3	0.46	5.04	4.62e-07	4.46e-06	RAB27B
15261.05	1.58	0.31	5.04	4.63e-07	4.47e-06	SCARNA5
1988.97	1.74	0.34	5.03	4.78e-07	4.6e-06	M6PR
15220.09	2.27	0.45	5.03	5.01e-07	4.76e-06	CAVIN2
1236.88	1.66	0.33	5.02	5.08e-07	4.81e-06	RASAL3
1239.82	1.64	0.33	5.02	5.13e-07	4.85e-06	EID1
66754.94	2.18	0.44	5.02	5.2e-07	4.91e-06	RNY3
1036.92	1.88	0.38	5.02	5.21e-07	4.91e-06	NOSIP
3121.63	1.58	0.32	5.01	5.38e-07	5.03e-06	LRRC75A-AS1
3685.91	1.41	0.28	5	5.66e-07	5.28e-06	CD48
11293.04	2.03	0.41	5	5.79e-07	5.4e-06	RGS18
2994.17	1.71	0.34	5	5.86e-07	5.45e-06	RASA3
1840.83	1.82	0.36	4.99	5.89e-07	5.47e-06	MAPRE2
3474.95	1.44	0.29	4.99	5.91e-07	5.49e-06	SNORA68
4255	1.13	0.23	4.99	5.93e-07	5.5e-06	XRCC5
10321.67	1.69	0.34	4.98	6.36e-07	5.86e-06	NORAD
235407.19	1.52	0.31	4.98	6.39e-07	5.88e-06	EEF1A1
1054.05	1.68	0.34	4.97	6.67e-07	6.12e-06	CCT7
6731.61	1.68	0.34	4.95	7.24e-07	6.6e-06	EEF1B2
4244.75	1.48	0.3	4.95	7.54e-07	6.84e-06	HNRNPDL
1469.38	2.28	0.46	4.94	7.64e-07	6.92e-06	CTSW
1197.54	1.59	0.32	4.93	8.39e-07	7.48e-06	XBP1
3361.67	1.91	0.39	4.92	8.78e-07	7.79e-06	SNORD15A
400.83	2.11	0.43	4.89	9.85e-07	8.71e-06	NDUFB2
850.78	1.61	0.33	4.89	1.02e-06	8.97e-06	SETD3
24399.76	1.59	0.32	4.88	1.07e-06	9.42e-06	EEF1G
844.78	1.83	0.38	4.87	1.1e-06	9.62e-06	VIM-AS1
6458.05	2.04	0.42	4.85	1.22e-06	1.06e-05	SPOCK2
1158.97	1.37	0.28	4.84	1.28e-06	1.1e-05	CTBP1
663.84	1.7	0.35	4.84	1.29e-06	1.11e-05	COX6C
1385.36	1.51	0.31	4.83	1.33e-06	1.14e-05	FAM208A
133127.98	-2.44	0.51	-4.83	1.37e-06	1.17e-05	NEAT1
2786.52	2.32	0.48	4.82	1.41e-06	1.21e-05	ZAP70
2989.49	1.5	0.31	4.81	1.49e-06	1.26e-05	DAPP1
2318.65	1.23	0.26	4.81	1.49e-06	1.26e-05	SSR2
3508.95	2.34	0.49	4.8	1.6e-06	1.35e-05	RUFY1
2090.61	1.82	0.38	4.79	1.67e-06	1.4e-05	SNHG5
665.65	1.59	0.33	4.77	1.8e-06	1.5e-05	MIF
33931.97	-3.14	0.66	-4.77	1.82e-06	1.51e-05	SLC25A37
2038.52	1.66	0.35	4.77	1.85e-06	1.53e-05	CERS2
46374.35	1.77	0.37	4.77	1.85e-06	1.53e-05	FLNA
8696.73	1.3	0.27	4.75	1.99e-06	1.63e-05	CALM1
10236.53	2.12	0.45	4.74	2.13e-06	1.73e-05	PKM
845.72	1.36	0.29	4.74	2.16e-06	1.76e-05	DNAJC8
632.98	-3	0.63	-4.73	2.25e-06	1.81e-05	PCBP1-AS1
5693.56	-1.53	0.32	-4.73	2.26e-06	1.82e-05	FMNL1
2667.47	1.65	0.35	4.72	2.34e-06	1.88e-05	KCTD20
854.57	2.9	0.61	4.72	2.34e-06	1.88e-05	RPA1
2716.7	1.82	0.39	4.72	2.38e-06	1.91e-05	CCND3
1777.32	2.41	0.51	4.71	2.42e-06	1.94e-05	YWHAH
2957.56	1.63	0.35	4.7	2.58e-06	2.05e-05	ATP5F1A
4785.72	2.17	0.46	4.7	2.65e-06	2.09e-05	TSC22D1
15123.3	1.34	0.29	4.69	2.72e-06	2.14e-05	EIF4B
12393.9	1.36	0.29	4.69	2.76e-06	2.17e-05	SNORD10
6055.38	2.98	0.64	4.68	2.84e-06	2.23e-05	CLU
854.79	1.57	0.34	4.68	2.94e-06	2.29e-05	NDUFA13
13874.02	1.28	0.27	4.67	3e-06	2.32e-05	SCARNA2
1005.17	2.22	0.48	4.67	3.01e-06	2.33e-05	CD3D
8532.2	2.07	0.44	4.67	3.02e-06	2.33e-05	ITGB1
218095.87	1.52	0.33	4.66	3.15e-06	2.42e-05	SNORD3A
1308	1.53	0.33	4.65	3.26e-06	2.49e-05	RETREG3
1585.58	1.42	0.3	4.65	3.31e-06	2.53e-05	EDF1
18794.54	1.48	0.32	4.65	3.4e-06	2.58e-05	RACK1
1310.75	1.88	0.4	4.64	3.45e-06	2.62e-05	SNRPN
3380.24	-2.32	0.5	-4.64	3.48e-06	2.63e-05	PPP1R18
4741	-1.68	0.36	-4.64	3.48e-06	2.63e-05	ZDHHC18
1467.27	1.35	0.29	4.63	3.6e-06	2.72e-05	KCNAB2
3683.65	1.87	0.4	4.63	3.67e-06	2.76e-05	AL356488.2
1954.45	1.18	0.26	4.63	3.67e-06	2.76e-05	PPP1CA
4932.59	1.31	0.28	4.62	3.89e-06	2.9e-05	CANX
2183.84	1.92	0.42	4.61	4.08e-06	3.03e-05	PRF1
2380.53	1.55	0.34	4.59	4.45e-06	3.28e-05	ACADVL
409.65	1.88	0.41	4.59	4.51e-06	3.32e-05	IMP3
2245.76	1.88	0.41	4.57	4.78e-06	3.51e-05	TRAF3IP3
978.61	1.62	0.35	4.57	4.96e-06	3.63e-05	NME2
1875.05	1.48	0.32	4.56	5.03e-06	3.67e-05	UBA7
2089.38	1.31	0.29	4.55	5.25e-06	3.81e-05	PPIB
1024.35	1.68	0.37	4.55	5.32e-06	3.85e-05	USF2
1405.91	1.66	0.36	4.55	5.33e-06	3.86e-05	LARS
1152.4	1.58	0.35	4.55	5.44e-06	3.92e-05	NDUFA4
809.47	1.69	0.37	4.54	5.51e-06	3.97e-05	KLHDC3
3612.58	1.54	0.34	4.54	5.67e-06	4.07e-05	LTA4H
1162.13	1.86	0.41	4.53	5.77e-06	4.14e-05	INAFM2
2277	1.5	0.33	4.53	5.81e-06	4.16e-05	RAP2B
2442.7	1.26	0.28	4.53	5.82e-06	4.16e-05	XRCC6
984.09	1.51	0.33	4.53	5.88e-06	4.2e-05	GIMAP2
1662.44	1.44	0.32	4.53	5.88e-06	4.2e-05	VPS51
2582.96	1.3	0.29	4.52	6.05e-06	4.3e-05	ATP1A1
188795.76	2.05	0.45	4.52	6.08e-06	4.32e-05	AC010970.1
1865.01	1.37	0.3	4.52	6.14e-06	4.37e-05	HNRNPF
6626.42	1.48	0.33	4.52	6.16e-06	4.38e-05	NPM1
1322.83	1.43	0.32	4.52	6.31e-06	4.46e-05	HDAC1
877.04	2.5	0.55	4.5	6.65e-06	4.69e-05	PCED1B-AS1
522.69	1.84	0.41	4.5	6.78e-06	4.76e-05	GZMM
13820.51	3.02	0.67	4.5	6.82e-06	4.78e-05	ITGB3
1596.03	1.93	0.43	4.5	6.91e-06	4.82e-05	SNORA5A
6627.57	1.49	0.33	4.5	6.94e-06	4.83e-05	SEPT9
8053.24	1.04	0.23	4.49	7.03e-06	4.89e-05	PFN1
1552.71	1.57	0.35	4.49	7.17e-06	4.97e-05	PTPRCAP
730.24	1.81	0.41	4.48	7.44e-06	5.15e-05	NDUFS5
2600.46	1.27	0.28	4.48	7.49e-06	5.18e-05	TPI1
3785.1	2.56	0.57	4.48	7.57e-06	5.21e-05	DEFA1B
1310.28	1.46	0.33	4.47	7.68e-06	5.27e-05	SCARNA21
1467.45	1.22	0.27	4.47	7.8e-06	5.34e-05	NBR1
2001.24	1.46	0.33	4.46	8.06e-06	5.5e-05	EIF3G
4022.39	2.31	0.52	4.46	8.26e-06	5.63e-05	CD226
1088.33	1.26	0.28	4.46	8.34e-06	5.69e-05	STK26
1183.84	1.65	0.37	4.45	8.65e-06	5.87e-05	SSR4
5029.22	-2.98	0.67	-4.45	8.74e-06	5.93e-05	MXI1
4025.53	1.52	0.34	4.45	8.77e-06	5.94e-05	MAX
2877.39	1.84	0.41	4.44	9.11e-06	6.14e-05	TRBC2
1462.06	2.28	0.51	4.44	9.17e-06	6.17e-05	TRAC
1133.06	1.65	0.37	4.43	9.35e-06	6.28e-05	HIST1H4C
6919.63	1.75	0.39	4.43	9.42e-06	6.32e-05	SNORD89
4033.89	1.11	0.25	4.43	9.47e-06	6.34e-05	LNPEP
1517.15	1.56	0.35	4.43	9.5e-06	6.36e-05	MTA2
8850.82	1.36	0.31	4.42	9.98e-06	6.66e-05	NACA
