gene_name	SAMN15792999	SAMN15793000	SAMN15793001	SAMN15793002	SAMN15793003	SAMN15793004	SAMN15793005	SAMN15793006	SAMN15793007	SAMN15793008
AHSA1	1.6	1.5	1.7	2.1	2.5	1.2	1.1	1.6	1.4	1.1
CD52	79	69.4	97.1	94.8	116.3	77.1	56.5	58.5	51.4	38
COX6C	15.6	12.5	24.7	20.9	21.7	15.6	9.2	11.5	12.2	7.2
CTBP1	2.1	2.1	2.5	3.3	3.6	2.3	2	3.4	2.4	1.6
DCAF12	1.8	4.1	1.3	1.5	3.3	3.9	85.9	49.4	15.9	64.8
EEF1G	117.1	62.4	137.2	122.4	137.7	105.5	70.1	79.8	73.5	56.8
EIF3C	5.8	4.7	8.7	10	8.7	6.4	8.2	6.9	7.4	5
FAM208A	1.3	1.2	3.9	4.5	4.4	2.4	1.4	1.8	2.6	1
GADD45B	4.7	6.1	7.3	6.4	9.8	34.8	15	119.6	35.5	50.2
MBOAT7	1.1	2.3	2.5	2.3	1.7	11.1	5.5	30.7	21.5	22.9
MFNG	3.4	3.2	4.4	4.7	4.7	3.5	2.4	3.8	2.7	1.7
NECAP2	5	2.5	6.9	6.2	6.5	6.8	4.3	5.2	5.3	3.7
POLR3GL	2.1	1.9	3.2	2.7	2.7	1.9	1.4	2	1.9	1
PRKCH	4.8	2.2	4.9	4.9	4.7	3.2	2.3	13.7	4.2	3.7
RAB11A	22.1	26.3	31	25.7	34.7	24.8	20.3	21.5	31	16
RARRES3	6.8	4.7	7.2	8.7	8.1	5.2	3.8	7.2	3	1.9
SEC14L1	1.1	3	6	6.5	2.2	41.9	21	48.6	88.3	68.5
SETD3	2.7	1.8	4.3	2.3	2.3	1.8	1.3	3	1.5	1.3
SH3BGRL2	6.4	14.9	13.1	6	5.7	2.7	4.6	3.8	6.8	2
SNHG22	50.2	22.5	31.5	33.6	40.9	29.8	22.3		26.8	16.9
SNORA57	1561.6	1265.2	1951.1	1279.2	1720.3	2020.1	1050.4	1545.7	1343.7	1306.2
SNORA67	455.2	579.8	688.6	475.6	573.8	512.8	211.6	442.7	562.2	475.6
SNORD15B	7048.9	4314.1	8199.2	7152.5	7670.9	8721	3261.1	5912.6	5683.3	4551.6
SPOCK2	11	2.3	9.4	9	9.2	7.8	2.9	6.9	2.6	3.5
STARD7	2.9	3.2	4.2	5.4	5	4	3	3.1	2.6	2.1
TUBA1C	4.8	8.2	10.3	6.7	5.4	4.3	2.8	3.9	5	2
VIM-AS1	6	5	6.4	7.8	12.8	4	3.9	4.1	5.2	3.1
